company_name,equity_ticker,isin,cusip,identificador,currency,country,type,ticker_type,issue_date,maturity,ticker,exchange
International Business Machines Corp,IBM US Equity,US4592001014,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,IBM US Equity,US
Apple Inc,AAPL US Equity,US0378331005,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,AAPL US Equity,US
Steinhoff International Holdings NV,SNH GY Equity,NL0011375019,NaN,NaN,EUR,ZA,Common Stock,Equity,NaN,NaN,SNH GY Equity,GY
Tencent Holdings Ltd,700 HK Equity,KYG875721634,NaN,NaN,HKD,CN,Common Stock,Equity,NaN,NaN,700 HK Equity,HK
Amazon.com Inc,AMZN US Equity,US0231351067,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,AMZN US Equity,US
Alibaba Group Holding Ltd,BABA US Equity,US01609W1027,NaN,NaN,USD,CN,ADR,Equity,NaN,NaN,BABA US Equity,US
Walt Disney Co/The,DIS US Equity,US2546871060,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,DIS US Equity,US
Facebook Inc,FB US Equity,US30303M1027,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,FB US Equity,US
Tesla Inc,TSLA US Equity,US88160R1014,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,TSLA US Equity,US
Aptiv PLC,APTV US Equity,JE00B783TY65,NaN,NaN,USD,GB,Common Stock,Equity,NaN,NaN,APTV US Equity,US
General Electric Co,GE US Equity,US3696041033,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,GE US Equity,US
Teva Pharmaceutical Industries Ltd,TEVA US Equity,US8816242098,NaN,NaN,USD,IL,ADR,Equity,NaN,NaN,TEVA US Equity,US
Bank of America Corp,BAC US Equity,US0605051046,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,BAC US Equity,US
NVIDIA Corp,NVDA US Equity,US67066G1040,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,NVDA US Equity,US
Altice NV,ATC NA Equity,NL0011333752,NaN,NaN,EUR,NL,Common Stock,Equity,NaN,NaN,ATC NA Equity,NA
Micron Technology Inc,MU US Equity,US5951121038,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,MU US Equity,US
Microsoft Corp,MSFT US Equity,US5949181045,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,MSFT US Equity,US
JPMorgan Chase & Co,JPM US Equity,US46625H1005,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,JPM US Equity,US
Citigroup Inc,C US Equity,US1729674242,NaN,NaN,USD,US,Common Stock,Equity,NaN,NaN,C US Equity,US
Steinhoff International Holdings NV,SNH SJ Equity,NL0011375019,NaN,NaN,ZAr,ZA,Common Stock,Equity,NaN,NaN,SNH SJ Equity,SJ
Delphi Technologies PLC,DLPH US Equity,JE00BD85SC56,NaN,NaN,USD,GB,Common Stock,Equity,NaN,NaN,DLPH US Equity,US
